indicator,areacd,areanm,geography,observation,unit,measure,period,lower_confidence_interval_95,upper_confidence_interval_95,observation_status
Inward foreign direct investment,E47000013,East Midlands,ITL Level 2,19202,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000013,East Midlands,ITL Level 2,23342,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000013,East Midlands,ITL Level 2,31418,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000013,East Midlands,ITL Level 2,31908,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000013,East Midlands,ITL Level 2,27895,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,22594,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,23606,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,18116,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,23920,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,12654,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,12790,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,19419,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLF3,Lincolnshire,ITL Level 2,3369,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLF3,Lincolnshire,ITL Level 2,2806,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLF3,Lincolnshire,ITL Level 2,3652,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLF3,Lincolnshire,ITL Level 2,5020,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLF3,Lincolnshire,ITL Level 2,4462,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLF3,Lincolnshire,ITL Level 2,5355,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLF3,Lincolnshire,ITL Level 2,5199,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLG,West Midlands,ITL Level 1,57337,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLG,West Midlands,ITL Level 1,91384,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLG,West Midlands,ITL Level 1,88319,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLG,West Midlands,ITL Level 1,60836,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLG,West Midlands,ITL Level 1,55278,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLG,West Midlands,ITL Level 1,63033,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLG,West Midlands,ITL Level 1,62431,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,11599,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,13523,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,10215,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,18928,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,11908,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,14429,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,17247,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLG2,Shropshire and Staffordshire,ITL Level 2,13536,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLG2,Shropshire and Staffordshire,ITL Level 2,13494,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLG2,Shropshire and Staffordshire,ITL Level 2,8975,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLG2,Shropshire and Staffordshire,ITL Level 2,13054,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLG2,Shropshire and Staffordshire,ITL Level 2,9569,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLG2,Shropshire and Staffordshire,ITL Level 2,12534,£ million,Pounds,2016-01-01/P1Y,,,
