AREACD,AREANM,Geography,Indicator,Observation,Unit,Measure,Period,Lower_confidence_interval_95,Upper_confidence_interval_95,Observation_status
s12000015,fife,local-authority-district,apprenticeships-starts-scotland,517.6950684,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000015,fife,local-authority-district,apprenticeships-starts-scotland,571.1876355,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000015,fife,local-authority-district,apprenticeships-starts-scotland,568.5186095,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000015,fife,local-authority-district,apprenticeships-starts-scotland,618.6456464,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000047,fife,local-authority-district,apprenticeships-starts-scotland,588.2654664,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000047,fife,local-authority-district,apprenticeships-starts-scotland,575.442241,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000047,fife,local-authority-district,apprenticeships-starts-scotland,564.9407458,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000047,fife,local-authority-district,apprenticeships-starts-scotland,594.3419948,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000047,fife,local-authority-district,apprenticeships-starts-scotland,391.33287,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000047,fife,local-authority-district,apprenticeships-starts-scotland,583.6461946,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000047,fife,local-authority-district,apprenticeships-starts-scotland,569.344249,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000046,glasgow-city,local-authority-district,apprenticeships-starts-scotland,555.521912,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000046,glasgow-city,local-authority-district,apprenticeships-starts-scotland,554.4580854,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000046,glasgow-city,local-authority-district,apprenticeships-starts-scotland,544.8320369,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000046,glasgow-city,local-authority-district,apprenticeships-starts-scotland,571.8189459,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000046,glasgow-city,local-authority-district,apprenticeships-starts-scotland,596.4824757,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000046,glasgow-city,local-authority-district,apprenticeships-starts-scotland,556.5093721,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000049,glasgow-city,local-authority-district,apprenticeships-starts-scotland,458.3750222,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000049,glasgow-city,local-authority-district,apprenticeships-starts-scotland,462.302348,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000049,glasgow-city,local-authority-district,apprenticeships-starts-scotland,487.7260368,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000049,glasgow-city,local-authority-district,apprenticeships-starts-scotland,360.9912331,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000049,glasgow-city,local-authority-district,apprenticeships-starts-scotland,571.9388142,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000049,glasgow-city,local-authority-district,apprenticeships-starts-scotland,511.8436663,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
